Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly in Favour,I love to play poker,Would like to play poker in a safe environment,Would like to see world class poker tournaments in Toronto,F,45-54,Female,L7E
Strongly Opposed,Traffic,Toronto already has lots of tourist draws,Gambling isn't something we should promote,T,Prefer not to disclose,Prefer not to disclose,M2K
Strongly Opposed,"Casinos generate social problems:  gambling addictions, crime, bankruptcies, traffic gridlock and geographic dead space surrounding casino,",This casino will complete the ruin of Toronto's waterfront if placed on the CNE ground--as the American owners want.  I have no desire to turn our waterfront into a slummy Atlantic City,"Casinos always fail to produce the promised economic benefits in ""host"" communities and (in this case) so-called ""hosting fees"" are not high to begin with",F,,,
Strongly in Favour,Bring interest to downtown Toronto,Nearby Gambling,Great attraction / entertainment / hotels,F,35-44,,l7c
Strongly Opposed,Concerns about public health impact of casinos - especially addictions and mental health,"Concerns about justice - we shouldn't be seeking revenues from the already poor and disadvantaged.  If we want new revenues, we should improve progressive taxation instead.","Concerns about cost: while casinos may superficially generate revenue, they in fact create new health costs that are pushed downstream to Toronto Public Health and to the provincial health care budget.",T,25-34,Male,M6H
Strongly in Favour,new jobs,more revenu,more tourists which will generate more money,F,25-34,Female,m9n
Strongly Opposed,There are enough Gambling options in the Golden Horshoe area already.,Casinos are designed to keep the patrons in at all times so local neighbourhood businesses will not benefit.,Casinos kill local business as seen in downtown Niagara Falls which is a world renowned tourist attraction.,T,55-64,Female,M9C
Strongly Opposed,The social and health issues a casino will bring to the city.,"The city does not have the infrastructure to support this.  Traffic is bad now, bring in a casino and watch it get worse.",The crime that it will bring.,T,Prefer not to disclose,Prefer not to disclose,
Somewhat Opposed,revenue to the city would be good,worried about gambling addiction,worried that surrounding casinos will lose business,T,35-44,Male,m4a
Strongly Opposed,wILL NOT BRING IN THE REVENUES EVERYONE THINKS,wILL ENDANGER RESIDENTS WITHIN VECINITY OF CASINO,"IS A DANGER TO ENCOURAGE SENIORS GAMBLING, THOSE WHO CURRENTLY DO NOT TRAVEL WILL BE ABLE TO ACCESS",T,,,
Strongly Opposed,Health Concerns,Social Concerns - family life and increase in crime,Does not contribute to beauty of the city or the environment,F,55-64,Female,M9C
Strongly in Favour,jobs,,,F,45-54,Male,m4j
Strongly in Favour,Job,Revenue,Tourist,F,,,
Strongly Opposed,Many more people will become addicts as the casino will be close to people without cars.,A lot of the jobs at a casino are done by a machine so not so many people will be hired.,,T,65 or older,Female,M1W
Strongly in Favour,"More job opportunities, high paying jobs.",Attract more tourists.,More money for the city of Toronto.,F,15-24,Female,M1s
Strongly Opposed,"Casinos create significant social ills, including crime, addictions, bankruptcies, ""dead"" and/or dangerous space around the casino, traffic and parking problems the casino","A casino is downtown Toronto will ruin neighbouring communities, will be unsafe for residents in the vicinity of the casino, and (if placed on the waterfront) will ruin the City's Waterfront revitalization plans",Casinos consistently fail to produce the promised revenues for host communities,T,55-64,Female,M4N
Strongly in Favour,,,,F,35-44,Female,M6n
Somewhat Opposed,The effect Casionos can have on individuals and the community,"The amount of money the City will receive from the Casion Development, will it make the City better off or will it cost us in the long run",,F,55-64,Male,m1c
Strongly in Favour,Increase revenue for the city / jobs for the economy,Increase in tourism / events / attractions,,F,35-44,Male,M6K
Somewhat in Favour,"Not sure on what effect it would have on the city, could either bring tourism or cause gambling problems",,,F,25-34,Female,M6K
Somewhat Opposed,social problems and negative effects on the city near its location,situation on the waterfront unwarranted and will displace other developments that are more in the public interest,all promises and no guarantees,T,Prefer not to disclose,Male,M6R
Strongly Opposed,There are more responsible methods to raise revenue,Gambling addiction and the cost to social services,Negative impact on surrounding communities,T,25-34,Female,M5R
Strongly in Favour,good economic growth,more employment,good for tourist,F,55-64,Male,L6C
Strongly in Favour,There is no casino close to Toronto - an area that is being overlooked,Added entertainment to the city,,F,25-34,Female,M5V
Somewhat Opposed,Poverty,Gambling addiction,,F,35-44,Male,M4J
Strongly Opposed,We need to bring in family friendly and teen activities to encourage and nurture our children and youth.,"We need to protect our remaining available space to develop green spaces that are used for healthy, active participation in our city.","Cassinos cannot avoid encouraging vices such as misuse of money.  In these difficult times, we need activities that develop responsible habits.",T,35-44,Female,M5V
Strongly Opposed,Overcrowding in downtown area where casino is being proposed,Lack of public transit,Casino downtown would attract people on pubic assistance to easily access gambling,T,25-34,Male,M4M
Strongly Opposed,Not needed.,There are better ways to fill gov't coffers.,Robs local busineeses of revenue.,T,,,
Strongly in Favour,Personally would love a full entertainment casino closer than Windsor/Detroit and better than Casino Rama,I think it would bring some good business/tourism to Toronto,It will bring some new jobs to the city.,F,25-34,Female,L1N
Strongly Opposed,It will attract shady businesses and it will be detrimental to the city -- just travel to Las Vegas and walk outside the strip,,,T,35-44,Female,M6G
Somewhat Opposed,Effect on other Ontario communities for whom casino is a major economic resource,Idea of revitalizing Ontario Place with community-friendly venue.,Ownership by private foreign concern such as MGM.,F,,,
Strongly Opposed,I'm strongly opposed to encouraging people to gamble,,,T,65 or older,Female,M9W
Strongly Opposed,Increase in gambling addictions - destropys moral and social fabric of society,"Increased crime e.g. money laundering, loan sharking, prostitution","Environmental impact i.e. less green space, traffic congestion, increased pollution",F,35-44,Female,M5A
Strongly in Favour,"If Toronto doesn't permit the building of a casino, one of our neighboring cities will get the casino.",A casino in Toronto will bring more people to Toronto.,A casino will creat jobs and reduce property taxes.,F,55-64,Male,M5C
Strongly Opposed,The negative effects of gambling on the economic well-being of families.,Ancilliary problems of drugs and alcohol.,Concerns regarding increase in criminal activities.,F,45-54,Female,m5e
Strongly in Favour,Revenue for city,Employment,Closer proximity to casino than other Ontario versions,F,35-44,Male,L9W
Strongly Opposed,Eye sore,Gambling can become a terrible addiction - no need to perpetuate,Toronto IS an entertainment hub enough as it is - and that's why people already love it,F,,,
Strongly Opposed,Increased substance abuse and addiction,Will impact small business negatively,Poor use of waterfront area,T,25-34,Female,M6H
Strongly in Favour,"The city doesn't have a major casino, which is weird as we're supposed to be a world class entertainment/culture hub","Would be an obvious draw for tourists and visitors--they can even market it the ""Vegas of the North""",As a Torontoian I'd love to see us have a casino and would give it frequent patronage especially if it attracted international live acts,F,25-34,Female,M5V
Strongly Opposed,"Gambling activties can play a huge role in breaking up families and loved ones, it can destory lives!",What are we teaching to our children and young ones? The idea of constructing a casino in Toronto sends the wrong image for our future generation,It tears up people's image of Toronto. It will also affect and disrupt the downtown residential daily lives!,T,15-24,Female,
Strongly Opposed,bringing a casino to the city of Toronto could potentially result in a significant rise in the crime rate,it will cause a lot more social problems,,T,15-24,Male,M1V
Strongly Opposed,THE WRONG KIND OF BUSINESS FOR TORONTO,Will not create the kinds of jobs we need,Will destroy the life of downtown Toronto,F,55-64,Male,M4X
Strongly in Favour,Exciting atmosphere in Toronto,Extra Revenue to the city and surrounding areas,Toronto needs something new to bring in the tourists,F,25-34,Male,L1G
Strongly Opposed,Social problems,Worried about the type of people a casino would attract.,A casino would'nt enhance the neighborhood.,T,55-64,Male,M4L
Strongly Opposed,Casinos encourage irresponsible personal financial behaviour that is almost always detrimental to the health and well-being of individuals and their loved ones.,Casinos prey on the weaknesses of those who can least afford to gamble.,A casino will inevitably encourage the development of a district that includes other services which are potentially detrimental to the health and well-being of individuals and their loved ones.,F,45-54,Male,M6K
Strongly Opposed,I have seen the negative impact of gambling on communities thoughout Canada.,I have seen the negative impact of gambling on individuals.,"There are no good reasons for a casino besides the revenue, and that alone isn't a good enough reason to do things.",T,35-44,Male,M6R
Strongly in Favour,would provide jobs,would help to redevelop parts of the city,would provide revenue to the city,F,55-64,Male,M1M
Somewhat Opposed,Public Health reasons ... addiction issues,Environment - how and where do you isolate something like that?,,F,45-54,Male,
Strongly Opposed,,,,T,55-64,Male,M1W
Strongly Opposed,too many casino already,create lots of social problems,create crime and guns problem,F,35-44,Male,m5c
Strongly in Favour,provide entertainment,create jobs,,F,45-54,Male,M5A
Strongly Opposed,Detrimental to Toronto's culture,Ruins the waterfront (even MORE),Promotes addictions,T,55-64,Female,M5A
Somewhat Opposed,,,,F,,,
Strongly in Favour,increase in income for the city,entertainment,employment,F,65 or older,Male,m5m
Strongly Opposed,it is addictive,destructive to communities and families,takes income away from local businesses like restaurants and local stores,T,35-44,Female,m6r
Strongly Opposed,Health concern- addition,Traffic issue,poverty,T,Prefer not to disclose,Female,M1N
Strongly in Favour,Significant upgrade to downtown Toronto,Another reason for tourists and Toronto people to visit Toronto,Significant economic boost to our great city,F,45-54,Male,M5J
Strongly Opposed,As an employee of the Direct Energy Centre it would add increased transit bodies in regards to all the events there are every season and that equals more bad traffic were its already bad on fleet street etc.,Exibition Place is a historical place for family entertainment. it would hurt the image in general. its like having a strip club instead of Ontario place.,A more seclueded place were children would not be exposed to such a thing would be a smarter choice. Exibition for me growing up has always been a safe reliable entertainment area for family and good music it shouldnt be a place were a child coming from a hockey/soccer game/concert would see women and men doing adult activity,F,,,
Neutral or Mixed Feelings,fit with current landscape and culture of toronto downtown area,,,F,,,
Strongly Opposed,Gambling is a serious problem - we don't need to contribute to it,"New York, London, Paris - all the great cities in the world don't have or need a casino",There are already casinos within driving distance of Toronto,T,,,
Strongly Opposed,"It is a totally short sighted solution - how is Toronto going to position ourselves - Las Vegas, or Toronto?","This will encourage speculation, and discourage productive investment - bad for the financial hub of Canada",We already have access to many casinos in Ontario,T,,,
Strongly in Favour,Good Jobs,Extra Revenue,I gamble,F,45-54,Male,M1C
Somewhat Opposed,"Toronto has so many other ways to attract entertainment dollars - theatres, ballet, sports venues","Some of the theatres, sports venues etc may suffer due to people spending money on gambling","It will take away from the casinos in the nearby areas (Innisfil, Orillia, Niagra) which rely on the casino for jobs and revenue",T,45-54,Female,L9S
Strongly in Favour,Increased tourism to the city,More jobs,"Further promotes Toronto as a world class, cosmopolitan city",F,25-34,Female,M4A
Strongly Opposed,the social problems caused by gambling addiction,,,T,45-54,Male,M4R
Strongly in Favour,The city can use the money,Great addition for tourist,People will gamble rather have them spend money here than outside the city,F,45-54,Male,M4y
Neutral or Mixed Feelings,Don't care,,,F,,,
Strongly Opposed,not an option i believe is beneficial to our city or our people -,lots to do in the city to draw tourists,"spend money on recreation, housing, city serivces",T,Prefer not to disclose,Female,M6G
Strongly in Favour,Provides strong employment opportunities in many fields,Excellent venue - Toronto is well know throughout the world and this will boost its reputation for a great city,"Economic spinoffs - tourism, restaurants, shops etc.",F,65 or older,Female,M4W
Strongly Opposed,TRAFFIC is already terrible for people coming into the city from the west end.  We only have 2 routes during rush hour and they are both already to capacity.,CRIME in this city has become horrendous. Toronto will become even more of a cesspool than it already is.,ADDICTION will increase along with the VIOLENCE associated with it.,T,Prefer not to disclose,Female,M8W
Strongly Opposed,problem gambling,ruin families,more crime,T,45-54,Prefer not to disclose,m9w
Strongly Opposed,There is enough existing gambling venues,citing without a casinoOur city is vibrant and ex,Casinos foster addiction,T,,,
Strongly Opposed,Gambling is a destructive vice which promotes poverty and depression.,It is incumbent on citizens of Toronto to protect our own citizens as well as vistors from the financial havoc caused by gambling.,"Gambling has been empirically associated with drinking to excess which will increase the incidences of drunk driving, endangering everyone for the sake of insignificant increases to public tax coffers.",T,35-44,Female,M9B
Strongly Opposed,"Increase family affair problems, specially in low income family",criminal increase,,F,55-64,Female,M5V
Strongly Opposed,Make a bad effect for the families,"To close to the residential, too easy for the young people to reach the casino",Family income will definitely be affected,T,55-64,Male,M9L
Strongly Opposed,New Casino(s) will lead to move at risk gamblers and more addicted gamblers.,"New Casino will lead to a wide range of social problem, e.g family ,breakdown , youth addiction and crimes.",New Casino will adversely affect small business in the vacinity.,T,45-54,Male,M1S
Strongly Opposed,Increase in number of people addicted to gambling,Dollars that would go to store owners/restaurants/theatres diverted to casino,Increase in traffic and parking problems,T,55-64,Female,M6H
Strongly Opposed,opposition to gambling - not a healthy lifestyle,"casino destination not how Toronto should be marketed in terms of tourism - focus on galleries, shows, shopping more desirable",,T,45-54,Female,M4T
Strongly in Favour,To make money to build subways for Toronto.,,,F,45-54,Male,M1V
Strongly Opposed,"The community: in terms of safety, how the casino will blend with the surroundings, effects on small businesses.","The additional challenges, problems and costs it will create in regards to those with gambling problems.","The OLG isn't concerned with what is best for toronto, only what is best for them.",F,35-44,Female,M3B
Strongly Opposed,A casino close by will encourage people to gamble because it is easily accessible and create family and social problems.,Crime rate will increase.,"Disadvantges will be more than advantages.  Government should think of other ways to generate revenue, not from a casino.",T,55-64,Female,L5W
Strongly Opposed,Encourages more gambling,Higher crime in area,,T,45-54,Female,M5V
Strongly Opposed,"It's tacky, disruptive, uncultured and no Great International City is known for having one in the downtown core. (London? Paris? NYC?)","It is the root of social problems such as gambling addiction, alcoholism, causes increased personal debt, and violence.",It would just increase traffic to the downtown core which is already stressed due to the lack of transit infrastructure.,T,25-34,Female,M4W
Strongly in Favour,It's a night out for a few hours.,doing something togehter with my husband,i enjoy going once in awhile to have fun .,F,45-54,Female,m1l
Neutral or Mixed Feelings,congestion in downtown,i dont want this facility in portlands,i dont want family-use waterfront land in CNE area taken by this adult facility,F,45-54,Male,m6k
Strongly in Favour,Brings in a lot of money for the city,Creates many good paying jobs,Attracts tourists,F,25-34,Female,m9p
Strongly Opposed,Extreme traffic and parking congestion in an area that is already congested beyond anything acceptable,Seriously negative social impacts and crime and increased costs of mitigating these inevitable side-effects,Loss of business for small businesses and potentially for Woodbine Entertainment (in an economically depressed area),T,Prefer not to disclose,Male,M4V
Strongly Opposed,,,,T,,,
Somewhat Opposed,"i am principally  and morally against any casino, as it encourages gambling","Building anything new requires considerable resources, which the city cannot afford at this time.","A new casino would alienate young families from Toronto, which is the backbone for any city, as they support numerous businesses.",F,35-44,Male,
Strongly Opposed,"Gambling ruins families, causes social problems, may increase crimes too.",The consequences is not worth the revenue.,,T,45-54,Male,M1E
Strongly Opposed,Casinos exploit problem gamblers and the poorest among us.,They bring crime.,They don't bring in tourists so they don't bring in new spending.,T,45-54,Male,M6R
Strongly Opposed,Gambling is an addictive activity.  I have seen how this effects the person and those around them.,,,T,45-54,Female,m4y
Strongly Opposed,this city shows how little vision it has more and more every year,crime,"we have squandered a beautiful waterfront.  look to europe, not las vegas",T,25-34,Male,m6g
Strongly in Favour,Very helpful for the local economy,Will attract more tourists,Will improve Toronto's reputation as a world class city,F,15-24,Prefer not to disclose,M9B
Strongly Opposed,Casinos take money disproportionately from those who can least afford to give up that money.,"Casinos facilitate problem gambling, which can damage careers, families, and lives.",,T,45-54,Female,M4K
Strongly in Favour,it will increase tourism which will increase tax revenue and jobs,,,F,35-44,Male,m5j
Strongly Opposed,it would destroy local business,not comfortable with gambling,,T,55-64,Female,M5N
Strongly Opposed,A casino will cause additional overcrowding and traffic in the city,A casino will cause gambling problems in the city,A casino will attract the wrong tourism,T,25-34,Female,M6P
Strongly in Favour,,,,F,,,
Strongly Opposed,Toronto doesn't need to be a Vegas clone.,Gambling is an addiction and benifits the owners by a huge margin.,The jobs that will be created will be low paying.,T,55-64,Female,m5r
Strongly in Favour,reveune for Toronto,wont have to travel to other casinos,,F,55-64,Male,l7l
Strongly in Favour,"Construction jobs, Operational jos, spin off jobs",Increased tourism,Revenue for Toronto,F,55-64,Male,M3C
Strongly in Favour,"Torontonians will travel elsewhere to gamble, keep their money in house",More entertainment options,"Revenue, Toronto is short of money, this will bring some in",F,25-34,Male,
Strongly in Favour,increased revenue for Toronto,increased jobs,increased tourism,F,55-64,Male,M6P
Strongly Opposed,contributes to societal problems,taxes the wrong people,diverts revenue from the tax base,T,65 or older,Male,
Strongly Opposed,"Surely, we can better develop publicly owned land and waterfront property into something that will actually enhance our city - a park",Issues with addiction,The majority of jobs created will be low paying service industry jobs.,T,45-54,Male,M6H
Somewhat Opposed,don't like the idea of a huge building at the waterfront with a massive parking lot - further alienating the public from the waterfront,concerned about gambling addictions and the inevitable stories that will come about people losing everything and ruining their families,,T,55-64,Female,M4K
Strongly Opposed,the problems it brings far outweighs ANY economic benefit (which it must be pointed out is not as great as stated). I can of course list the problems but it seems to me these are already well-documented.,I would rather see our efforts go into something that enhances vs. drains the city,"these endeavours where great profit is to be made by a private interest never does serve a community well > sure some potential small spread of monies but on the whole the city ends up having to bend for these private interests and ordinary citizens end up living with the fall-out of reactive measures that are put in place to effect ""damage control"" from a 'business' that does not contribute to the integrity of this community in which we live",T,55-64,Female,
Strongly Opposed,Casinos breed addiction,Casinos do not promote or showcase our unique culture in Toronto,The space can be better used for projects that serve Torontonians and strengthen communities,T,25-34,Female,M5S
Strongly in Favour,jobs,,,F,55-64,Female,m8v
Strongly in Favour,The casinos in my eria is too far to go to,,,F,,,
Strongly Opposed,No redeeming social value in a casino,the only reason I can see for having one is for a revenue generator for the city (the ends justifies the means),this is a sin tax on people who can't afford it,T,,,
Strongly Opposed,"Social risks of gambling addiction.. when it comes to feeding addictions, proximity matters. Let's not ignore this just for money.",There are much more positive ways to use space that could generate money for the city... this just seems money hungry without considering the effects,Overall does not fit it with my idea of an urban community/city.,F,,,
Strongly Opposed,encourages gambling,destroys neighbourhoods,,T,55-64,Male,M6H
Strongly in Favour,Income,Fun,,F,,,
Strongly Opposed,we have an agreement in place with the racetracks THAT WORKS!!!!!!!!!,,,T,55-64,Male,L9Y
Strongly Opposed,,,,F,,,
Strongly Opposed,I believe there are enough casino's in the province already.  Toronto is far too congested as it is and doesn't need more,"Toronto does not have the infrastructure such as public transportation, parking, roads and enough park space as is",The C.N.E. must not be used for such a frivolous cause,T,55-64,Male,M8V
Strongly Opposed,Prevent KID's addicted for gambling,not good for people's health,"not good culture for gambling, need develop other more useful facility",T,,,
Strongly Opposed,Waste of money,,,T,,,
Strongly Opposed,Will cause gambling addiction,Won't give back in dollars that are predicted,,T,65 or older,Female,M6b
Strongly Opposed,"having it right here on your doorstep will make it easier to go in waste time, energy and develop addiction to gambling","very poor model for children and adolescents - we need to give them healthy models and pastimes, build a park there",,T,,,
Strongly Opposed,Near-term gain with long-term loss,Spiritual loss,A bad creation of human being,F,,,
Strongly Opposed,Casinos are an eyesore that Toronto does not need. There are plenty of casinos in close communities,,,T,,,
Strongly Opposed,bad idea,,,T,45-54,Female,L6R
Strongly Opposed,It will cause too many social issues.,Casinos play on the poor and desperate.,,T,45-54,Female,M3A
Strongly Opposed,Not enough consideration of the ramifications of the casino from Toronto Council,The negatives associated with a casino in the area outweigh the positives,,F,,,
Strongly in Favour,The economic advantage of generating revenues for Toronto,Job opportunities,"Increase tourism and make Toronto a fun, cultural and business hub.",F,55-64,Female,M5A
Strongly Opposed,LACK OF LOCAL INFRASTRUCTURE,LOCAL RESIDENTS PARKING WILL BE IMPACTED,"NO MORE VOLUME OF PEOPLE IS NEEDED IN PARTICAUR AREA, WHATS ITS GOING TO BE LIKE WHEN THE EX IS ON, TFC GAME ETC....",F,25-34,Male,33
Strongly Opposed,Creates a poor social environment in the neighbourhood,Would be a magnet for monetary crimes,Would make area unattractive to families with younger children,T,55-64,Male,M6R
Strongly in Favour,Increase tourism - bring revenue to the city and businesses in the city,Bring jobs to the city,Additional entertainment options in the city,F,25-34,Female,M6P
Strongly in Favour,KEEPING JOBS IN THE 416,KEEPING TAX MONEY IN THE 416,"KEEPING EXISTING BUSINESSES GOING IN THE 416, SO MANY HAVE BEEN DRIVEN AWAY",F,45-54,Female,M1L
Strongly Opposed,gambling is just so harmful,it does not add value to the society,bad example for our next generation,F,,,
Strongly Opposed,"More important needs for our city: transit, repairing gardiner expressway, senior healthcare facilities, GP's, to name a few.","Will attract the wrong kind of people to that area, vagrants, mafia.",Too close to our children - Ontario place which should be a fun and safe place for families will be overshadowed by the seediness of a casino.,T,45-54,Female,M4g
Strongly Opposed,Casinos often take money from those who can not afford it.  Problem gambling is a disaster to families,I am not comfortable with the type of people attracted by casinos,The numbers regarding job creation and revenue generation are not convincing,T,65 or older,Male,M4J
Strongly Opposed,"Preys on the poor and the compulsively driven gamblers to lose money in the name of ""entertainment""",Casinos cheapen Toronto's cultural identity: it's the wrong kind of icon to put on our waterfront,It would increase traffic in a city core already taxed by major transportation / commuter challenges,T,35-44,Male,M6K
Strongly Opposed,it won't benefit the economy of the city,,,T,35-44,Female,m1w
Strongly in Favour,good for the city to increase revenue,a good form of recreation for adults and seniors,legalized gambling prevents underground gambling which takes money away from the city,F,45-54,Male,m5t
Strongly in Favour,major tourist attraction and spinoff for local business,added value for conventions for toronto,"revenue, employment",F,55-64,Male,M1P
Strongly Opposed,Casinos have negative health and social impacts,Prefer to see good downtown land and waterfront location used for more productive and/or community - oriented purposes,"Job and revenue predictions are unreliable - OLG decides how much to pay the City: would probably displace some jobs at Woodbine, etc",T,55-64,Female,M4J
Strongly Opposed,It will not contribute positively to the city or its citizens.,"Economic reports are vague, and it seems that profits and local benefits are being dramatically exaggerated.",,T,Prefer not to disclose,Prefer not to disclose,
Strongly Opposed,"It will not help make a stronger waterfront, it will quickly become an eyesore with a terrible traffic problem","Don't feel that it will bring lasting economic impact for Toronto, positive or negative",THis is the last publicly waterfront property. Giving over to a casino is foolish and short-sighted.,T,35-44,Female,m6r
Strongly Opposed,It destroys neighbourhoods,,,T,65 or older,Female,M4X
Strongly in Favour,Jobs,income for the city,entertainment,F,,,
Strongly Opposed,Don't consider it a good revenue source,"I believe gambling causes more problems and costs (policing, addiction counseling, congestion etc)",The house always wins and the city won't see much revenue--only the casino company,T,35-44,Female,m4j
Strongly in Favour,To bring in unionized jobs,,,F,55-64,Female,M4K
Strongly Opposed,"This will change the area for the worse with increased crime and a seedy ""strip club"" type atmosphere.",,,T,45-54,Female,M5A
Strongly Opposed,Bad for city and families,,,T,55-64,Male,L6E
Strongly Opposed,,,,T,,,
Strongly Opposed,Crime,Disappointing results from other towns with casinos,Social issues,T,,,
Strongly in Favour,Quality work,Quality infrastructure,,F,45-54,,M4K
Strongly Opposed,,,,T,,,
Somewhat in Favour,Jobs,Tourism,Legalization - over underground gambling,F,25-34,Female,M4G
Somewhat Opposed,Negative social effects including crime,,,F,65 or older,Male,M2N
Strongly in Favour,Positive economic impact on the local economy,Fleshing out Toronto's reputation as a world class destination for tourism,It's closer for me than the other casinos - I'm not above being a little selfish here,F,45-54,Male,K9H
Strongly in Favour,Win-Win for City,,,F,,,
Strongly Opposed,Potential for increase in crime,Toronto has casino access in Rama and Niagara Falls and the race track at Woodbine,,T,45-54,Female,M4G
Strongly Opposed,Most jobs created will be minimum wage.,The affect on the health of individuals with gambling problems and their families,The affect on financial health of families of problem gamblers.,T,65 or older,Female,M9C
Strongly Opposed,"Other problems come with Casinos, over use of alcohol, people are encouraged (just by the opportunity) to waste their hard earned money",Increase in prostitution,Increase in crime activity,F,,,
Strongly Opposed,Casinos encourage people to spend more money than they should on gambling,Casinos encourage people to spend more time than they should ongambling.,Increased temptations to gamble will increase mental health and other socio-economic problems for Toronto citizens.,T,Prefer not to disclose,Male,M1J
Strongly Opposed,Strong evidence that the negatives far outweigh any positive impact,,,T,25-34,Prefer not to disclose,M4m
Strongly in Favour,I very much enjoy recreational poker. If a Toronto-based casino were to offer poker it would supplant my several-times a year trips to Vegas.,"People should be free to do as they please, and if some Toronto residents don't want a casino - they don't have to go.",,F,25-34,Male,M5T
Somewhat Opposed,it will attract the wrong kind of tourists,I don't want toronto to be a place of lost dreams,the kind of businesses that feed off casinos make for a hapless city,F,15-24,Male,m5s
Somewhat in Favour,it will bring lots of money to the city,it may create a traffic nightmare - need to expand public transit before this happens,it'll create lots of jobs,F,25-34,Female,n3c
Strongly Opposed,Unnecessary - there are other sources of revenue which could be selected,Worried about the traffic influx,Social ramifications,F,25-34,Female,
Strongly Opposed,very concerned about negative social impact - crime and addiction,very doubtful about the reported financial benefits to the city,very concerned about the negative impact to surrounding businesses and homes,T,55-64,Male,m2j
Strongly Opposed,"Casino's may bring tourism and money, but also crime and bad behaviour",Parking alone will congest the downtown core beyond its already congested situation,So much for Toronto the Good - put a casino outside the city limits to help underdeveloped areas - not Toronto,T,,,
Strongly Opposed,Casinos bring problems with them that city doesn't need and cannot handle,Casinos drain money from people who can ill afford it,,T,55-64,Female,M5A
Strongly Opposed,Traffic,Negative effect on adjacent small business and 'feel' of the area,No redeeming value for the brand of Toronto or its citizens,F,55-64,Male,M8Z
Strongly Opposed,Questionable net benefits to Toronto and area (no firm dollar value - seems to fluctuate widely depending on who you talk to),"Negative effects to other gaming destiantions including Rama, Niagara Falls and Windsor","Seems like a grand plan with no firm details, OLG seems to only be concerned about extracting more money from residents of the city",T,25-34,Male,m9l
Strongly Opposed,Congestion,Opposed to gambling,Noise and pollution,T,65 or older,Male,M2J
Somewhat in Favour,,,,F,Prefer not to disclose,Prefer not to disclose,M5J
Strongly in Favour,I visit other casinos in Ontario currently like Niagara Falls or Casino Rama.,"As a person with disabilities, casinos give me some variety in my life.",A new casino will create more jobs and business for the city.,F,65 or older,Male,M2N
Strongly Opposed,"toronto is a fine place, we don't need to prey on those addicted to gambling or those who have more money than brains to fund our shared services","casinos are for places that need to attract tourists, we have awesome restaurants, parks and city life to do that",i'd much rather we spend money improving our city life than lining the pockets of casino developers,T,25-34,Female,M6C
Strongly Opposed,Lead to more risk of developing at-risk gamblers and addicted gamblers,"Create family issues, e.g. bankruptcy, family breakdown, and youth addiction - cost more on social services","Cause all sorts of crimes, e.g. robbery, theft, black-market trades... - cost more burden to police force",T,,,
Strongly Opposed,"Casinos bring crime, tourists with no respect or positive associations with our city, and many other people who will be a detriment rather than a benefit",Casinos are another facility that encourages intoxication culture and fosters addictions and social ills. We are trying to raise our children and communities to be strong and independent all the while stacking the city with things that proliferate a culture of substance abuse and risk. It's irresponsible and dangerous.,"A casino will provide jobs, true, but what kind of jobs? More go-nowhere minimum wage employment opportunities for people who will have to serve drinks and take abuse; more women working graveyard shifts or getting off work after the subway isn't running, because casinos are 24 hours, therefore adding to unsafe conditions and suspect employment for individuals, especially women.",T,25-34,Female,M4L
Strongly Opposed,the potential deterioration of the proposed area for the casino's location,"potential problem gambling, health, safety concerns to individuals and community",parasitic nature of a municipality getting revenue from this type of activity,T,55-64,Prefer not to disclose,M6R
Somewhat Opposed,"A casino simply repurposes existing money from within the city. It's a small tourist draw, and any jobs created will simply balance out of existing discretionary income industries.",,,T,45-54,Male,
Strongly Opposed,Social problems,Regressive taxation,Economic impact on surrounding businesses,T,25-34,Male,m6j
Strongly Opposed,destroys families by causing addiction to gambling,waste of money which could otherwise be used in much more useful manner,,T,25-34,Female,L6A
Strongly Opposed,money going to out of town developers,creates addiction and financial woes for citizens,increased traffic and congestion downtown,T,35-44,Female,M6J
Strongly in Favour,Revenues for the city,closer to get too,toronto is suppose to be a first class city where is the casino sheesh,F,45-54,Male,l0g
Strongly in Favour,Great economic benefits,Puts Toronto on the map,I would go there myself,F,45-54,Female,M3C
Strongly Opposed,"Casinos primarily benefit the owners, no one else.",The numbers being bandied about are rubbish,Gambling is a tax on the poor,T,55-64,Male,M4E
Strongly Opposed,"A casino will be a drain on the city's economy, syphoning revenue from existing businesses","Gambling hurts many lives, of gambling addicts and their families","Casinos bring with it associated vices, including loan sharks and prostitution",T,35-44,Male,M6J
Strongly in Favour,Would bring jobs,Would increase tourism,Would be good recreation,F,25-34,Female,m4p
Strongly Opposed,"Problems for the city ... social, enforcement, traffic, etc. No net gain to be had.","It is not the role of government, especially local government to facilitate gambling enterprises.",,T,55-64,Male,M6C
Strongly Opposed,Currently the OLG can not run the casinos properly that are currently in operation,If Casinos are such a great idea why are places like Las Vegas struggling,There should be more city consultation with not just casino operators but other politicians that have casinos in their cities,F,25-34,Male,m1v
Strongly Opposed,"I came from a gambling city in Asia (Macau), and witnessed the ramifications of it, such as corrupting the minds of people, students, gamblers.",It destroyed quite a number of families who were somehow directly or indirectly related to gambling.,"It fosters greed, selfishness, and money-absorbed mind; and creates a strong and addictive dependence on luck to earn money.",T,25-34,Male,M9B
